S100A8,S100A9,S100A7,KRT6A,KRT1,KRT10,KRT14,PI3,KRT16,SPRR2A,SPRR2E,DCD,MIR1977,SPRR2D,SPRR2B,DEFB4A,KRT6B,SPRR2G,KRT6C,KRTDAP,SPRR1B,KRT5,KRT2,RPLP1,CNFN,Class_label
36.523,22.679,118.342,443.357,10519.016,13296.322,7464.894,13.44,1068.612,118.055,457.052,1725.501,10061.586,119.989,110.563,0.336,400.419,120.364,214.185,2142.204,239.076,5203.33,3198.178,3089.901,268.985,Healthy
6.155,3.854,20.587,197.549,12774.209,12828.826,12021.184,6.881,1530.567,139.983,596.999,446.548,8792.438,117.734,151.823,0.379,412.811,214.312,331.243,3721.455,225.832,7332.964,3517.447,4386.03,315.549,Healthy
14.589,8.678,14.366,470.146,11858.882,11060.98,8729.749,7.461,1156.395,58.754,246.712,246.911,9916.003,55.434,55.332,0,442.626,63.525,216.771,3497.214,119.907,6555.307,1505.647,4958.071,296.607,Healthy
53.724,23.103,11.65,326.578,9245.76,16885.745,11952.129,5.473,2146.834,35.511,151.853,947.929,8304.219,30.225,32.942,1.558,516.519,39.079,355.557,1810.648,198.777,6127.052,6346.954,1898.236,139.657,Healthy
23.084,27.185,89.902,467.833,13144.406,11114.93,9793.036,5.481,1125.764,202.498,605.85,560.792,10092.857,168.276,185.8,0.201,882.062,204.748,584.837,3944.462,278.717,8623.767,1655.319,5098.66,386.203,Healthy
83.281,75.407,195.126,581.833,15726.523,12402.735,7327.717,2.76,868.061,104.657,285.185,445.525,11178.013,93.246,96.307,0.38,648.334,118.662,405.381,4983.527,275.469,5702.692,1143.406,6609.755,454.24,Healthy
11.561,12.253,11.199,269.097,10309.459,10561.222,7278.2,3.491,843.122,42.388,121.095,1002.373,10277.541,46.261,41.01,0,484.212,36.948,321.767,3309.224,249.743,5278.222,2713.215,4432.517,416.184,Healthy
21.975,27.381,77.11,297.748,8971.768,10624.955,7583.35,12.115,902.679,94.367,295.136,392.689,9452.022,76.991,87.462,0,515.122,85.796,365.789,3831.503,283.942,6084.033,4607.748,4283.207,531.035,Healthy
107.319,61.397,174.633,675.74,9470.953,10368.38,8246.225,6.864,1205.075,166.837,663.159,630.314,10443.809,141.915,154.914,0,1067.768,220.982,522.169,3101.756,489.724,5970.618,2265.244,3786.66,270.996,Healthy
99.69,148.081,209.3,554.784,13216.766,10863.419,9197.773,9.811,1038.548,147.443,453.411,1.802,9060.566,117.565,137.487,0.578,528.769,141.575,292.711,5013.857,366.081,6318.565,2984.547,7491.519,825.394,Healthy
26.54,45.43,126.318,608.592,12712.491,10820.135,11644.643,2.889,1539.327,157.875,548.432,1086.92,10910.841,121.743,150.174,0.227,864.541,224.278,553.007,3718.477,239.529,7409.257,3210.609,7628.358,805.381,Healthy
48.922,58.607,102.312,409.509,12996.614,10977.279,13751.539,4.449,1585.211,169.448,551.542,0.444,9759.479,148.41,159.841,0,667.826,215.112,507.92,3811.416,200.72,9630.603,3684.754,7286.707,858.573,Healthy
7.12,6.897,8.456,142.984,12738.23,14116.406,6857.174,5.417,859.172,46.771,200.997,163.502,9350.265,40.678,43.63,0,294.84,50.272,243.33,4047.443,62.436,4755.046,2690.35,3508.644,277.177,Healthy
6.786,14.58,12.498,300.852,14035.59,13328.115,11119.157,3.037,1332.846,203.518,664.013,273.569,6899.712,187.991,193.533,0.223,541.419,254.831,422.055,5020.335,240.737,7725.293,7559.5,7515.068,1037.267,Healthy
21377.892,24946.229,17025.487,11939.256,9060.072,9135.884,15656.951,8413.313,12075.446,10072.872,9578.906,358.256,2693.46,7898.57,7350.563,3065.772,7038.772,5507.965,6417.313,6576.832,5516.832,6087.893,1134.636,2664.388,3557.687,Disease
7840.838,33212.099,8270.752,12466.997,8502.879,6942.803,17357.113,7184.753,12894.283,7803.273,8177.85,167.526,1704.311,6820.526,6787.965,3430.839,5900.532,5506.343,5388.998,5904.208,3151.607,7228.726,2967.336,7401.967,11565.347,Disease
9972.937,10825.402,9309.618,2419.087,14365.31,10205.109,8606.994,2580.808,2555.065,3441.279,3512.281,230.206,8181.184,2667.939,2522.878,692.566,1268.431,1816.753,1115.606,5015.059,2193.192,6764.86,236.012,2821.689,1347.898,Disease
7942.959,10028.262,6202.302,7954.041,12169.812,9997.029,17700.36,2697.975,7650.832,2638.475,2625.832,648.246,6412.364,1662.466,1764.678,605.966,5168.069,1221.544,4984.514,3576.438,2983.078,9943.925,1847.716,2747.288,986.224,Disease
25440.49,29864.264,17103.223,8343.733,5266.896,5084.071,13842.095,11283.074,8988.311,8685.021,9075.062,1036.338,5006.017,6985.009,6380.175,5475.121,4438.353,4036.926,3711.07,6345.296,3736.029,6271.134,140.883,2973.647,3176.064,Disease
18943.007,11925.783,14720.97,7052.058,8572.018,14674.699,7360.124,2533.388,4628.583,6315.878,5516.176,564.218,2521.209,3817.049,3443.997,2604.287,3889.551,4003.122,3442.56,5373.862,3746.38,4599.389,857.961,1229.255,1031.446,Disease
26956.4905,14007.313,17997.7985,3891.444,17199.8015,19078.7905,9094.021,3090.083,3161.6665,4382.124,5469.427,25.091,7069.076,2967.999,2788.834,2491.204,2240.6345,4043.685,1570.4075,5750.494,1765.0515,6711.6745,2772.451,1222.75,1139.5435,Disease
20374.503,24439.536,14536.783,5411.673,10048.945,11275.538,12324.563,7159.891,5380.129,4711.98,4985.509,1411.433,4895.491,3591.769,3773.162,1948.74,3318.071,2411.331,2659.654,7560.554,2622.353,7548.021,739.981,3320.3,2080.855,Disease
16991.357,10343.565,15054.239,6280.35,9157.95,14545.817,5051.387,6957.645,2567.961,5421.392,4322.756,705.899,2661.839,3472.147,2600.248,1672.034,3370.509,2409.682,2822.142,5699.258,4852.056,3565.47,353.746,920.821,820.996,Disease
24288.412,16213.926,17105.261,3565.335,13294.092,23204.57,5432.455,3056.028,2617.21,4451.479,5153.667,1343.032,3360.198,2803.259,2775.406,2660.312,1631.458,3911.113,1420.534,6631.445,2031,3782.671,2940.02,1642.498,1058.408,Disease
23024.852,11470.004,15839.894,5545.06,3662.842,6993.446,4466.184,5734.625,3292.07,5897.805,6308.903,1339.949,7073.942,4285.283,3328.909,6346.03,3156.483,3452.451,2040.044,4273.828,2076.681,3433.703,70.98,573.466,1041.077,Disease
25049.19,26398.775,13924.797,10836.588,8378.448,9561.938,17328.089,11513.025,11654.739,5742.31,5646.765,386.168,4477.901,3977.692,3656.613,2481.71,7367.906,2582.941,6270.291,6587.67,5597.513,8510.72,352.681,3034.837,2291.61,Disease
29192.49,33987.617,19329.938,9160.203,5160.781,7067.764,13880.982,14230.467,9047.86,10096.485,10925.891,171.725,4206.528,7328.943,7125.15,3131.27,5791.994,6538.227,4321.551,8880.609,5304.207,5668.098,227.966,3924.683,3469.255,Disease
